true_label,predicted_label,confidence,text_preview
negative,positive,0.765,"For awhile I was hooked on shows like Ghost Hunters and Destination Truth and stuff, even though I thought they were full of crap I found them interesting and entertaining, and that's why we watch ent..."
positive,negative,0.763,"Sure, it has its pretentious moments, it plays like art-house, live-action Fantasia, but it also has moments of deep beauty and humor. Omnibus films are always a problem, but I have always had a keen ..."
positive,negative,0.763,"Tumbling Doll of Flesh (aka Niku daruma and Psycho: The Snuff Reels) This was on my want list for quite a while, and then I finally scored a copy on Ebay a while back. It's never been on DVD, and what..."
negative,positive,0.763,"This is a movie about people receiving a love letter. Nobody knows who sent in and nobody knows who it is for. A good cast, headed up by Kate Capshaw, Tom Selleck and Ellen DeGeneres. This, however, i..."
positive,negative,0.759,How many movies are there that you can think of when you see a movie like this? I can't count them but it sure seemed like the movie makers were trying to give me a hint. I was reminded so often of ot...
negative,positive,0.754,"This is, without a doubt, the most hilarious movie I've ever seen. Seriously, if the makers of this movie are ever discovered, they'll put guys like Jim Carrey out of a job. Rent ""Jack-O"" tonight! Bel..."
negative,positive,0.741,"Okay, sure, this film will never win an oscar. Citizen cane this film is not... BUT why does every film have to be scrutinized? when was the last time you saw a film that was funny not becuase it was ..."
positive,negative,0.74,"I've read the comments on Las Vegas and do agree with some of them, it's not brain surgery TV, but then again I was under the impression that TV was mainly for escapism, especially with what is going ..."
negative,positive,0.728,It has a bit of that indie queer edge that was hip in the 90s and which places an explicit sell-by date on the visual style. Characters are uniformly apathetic and farcically deadpan. Street hoodlums ...
positive,negative,0.726,The Beauty. The Terror. The Poetry. The Horror. The Innocence. The Guilt.<br /><br />Maybe that's just about all I should write in this comment for A TALE OF TWO SISTERS. The best thing is to just wat...
positive,negative,0.725,"For those who expect documentaries to be objective creatures, let me give you a little lesson in American film-making.<br /><br />Documentaries rely heavily on casting. You pick and choose characters ..."
negative,positive,0.716,"Daft potboilers don't come much dafter than this, but it's a Douglas Sirk movie which makes everything alright. Except in this case it doesn't. Based on a sanctimonious novel by the sanctimonious Lloy..."
positive,negative,0.714,"I got this movie out a week after the death of Ichikawa Kon - I suppose if there is one way to mark the passing of a great director, its to raise a glass of wine to him while watching one of his great..."
negative,positive,0.71,"Just do a little research on the making of this film. Something so simple as a Google search. It was funded by the US Army and promoted just in time for the elections. It is a great idea, but I'd much..."
positive,negative,0.703,"Well, it took them 4 tries, but they finally got it right! In this 4th sequel to the Karate Kid franchise, the producers really hit a home run! Well first of all I applaud them for finally getting rid..."
negative,positive,0.701,"There is the thrill of low-budget film noir. And there is the frustration of meandering, uninteresting movies made on the cheap. This one falls into the second category.<br /><br />The Spot is the nam..."
positive,negative,0.701,It is to typical of people complaining about something when they no nothing about it...So this is about a gay man falling for a straight women. First of all...This is a true story so you cant say its ...
negative,positive,0.692,"Rather like Paul Newman and Steve McQueen with their racing car movies this has all the appearance of a ""jollies"" project for Robert Redford, as he gets to ski up hill and down dale in the Alpine suns..."
positive,negative,0.674,So Udo Kier earned like nine bucks and free food for this so that is a victory in and of itself. <br /><br />More importantly this movie tells a very interesting tale about a group of salvage guys com...
positive,negative,0.672,"This is a totally awesome movie! If you haven't seen it yet, you damn well should. Sure, the plot is slow to develop, the special effects are laughable, the acting is ridiculous and the action is badl..."
negative,positive,0.672,"""An astronaut (Michael Emmet) dies while returning from a mission and his body is recovered by the military. The base where the dead astronaut is taken to becomes the scene of a bizarre invasion plan ..."
positive,negative,0.656,"This HAS to be my guilty pleasure. I am a HUGE fan of 80's movies that were designed to entertain and they didn't care if they offended anyone. This move has no meat, not substance, no deep thought pr..."
positive,negative,0.649,"I have seen this movie only once, several years ago. But I remember liking it a lot.<br /><br />**Spoilers ahead** An old famous opera singer is retired and she decides to give all the money she has t..."
positive,negative,0.647,"The hysterical Hardware Wars is finally out on DVD. HW has earned its niche among parody classics and is not only a riotous little 20 minute short but a staple in low budget film production classes, w..."
negative,positive,0.646,"Yeah, I know the girls are hot and the scenery lovely but for someone knowing the place, it's hilarious.<br /><br />If you want some accuracy, this is not a movie to rely on. It starts with the flight..."
negative,positive,0.645,"Here's a spoof that's guaranteed to entertain folks in the IQ range of Homer Simpson. It's a cheap shot at every great Superhero, notably Spiderman and Batman. But it doesn't end there; it gets progre..."
positive,negative,0.622,"As i watched ""Wirey Spindell"" i couldnt but laugh at what was taking place on screen. Wirey sure got a lot of play from both boys and women but i was confused as to why the actor that played Wirey in ..."
positive,negative,0.612,"The film tackles the here and now horror of ""rendition"" with a multi-cast trans-global account of all involved. No-one gets off lightly because we see the blindness of the players as they carve out th..."
negative,positive,0.607,"Well, the episode I just watched had the older ""Gastineau Girl"" whining about why people keep mentioning her husband (Mr Gastineau, a famous American Football player apparently). She seems unwilling t..."
positive,negative,0.578,"algernon4's comment that Ms Paget's ""ultra lewd dance in (this film) is the most erotic in the history of films"" is certainly one doozy of an exaggeration. It isn't even Debra Paget's most erotic danc..."
negative,positive,0.578,An annoying group of ex-students from 'Monte Alto International High School' decide to spend a night in the now abandoned institution where a 'mystery' killer called the watchman played by horror lege...
negative,positive,0.571,"This is about some vampires (who can run around out in the sunlight), that are causing some problems down in South America. Casper Van Dien is sent in with his team of commandos to investigate. The mo..."
positive,negative,0.569,"This is one of the most anti-traditional war movies about was I have seen. Instead of the typical films that stress glory and perhaps super-human characters (like John Wayne), this film is the exact o..."
negative,positive,0.566,"This movie is juxtaposition of various super bad tough guy biker characters, loosely connected but with no real storyline. Some of the scenes are nicely filmed. If they took the same cast and crew, an..."
positive,negative,0.553,"Buddy Manucci(Roy Scheider, solid in a chance leading role)heads a secret undercover police squad called the Seven-Ups whose tactics don't necessarily follow the exact ways of the law. They get the jo..."
positive,negative,0.538,"This is a cute little French silent comedy about a man who bets another that he can't stay in this castle for one hour due to its being haunted. And, once the guy enters the house, it looks much more ..."
positive,negative,0.529,"William H. Macy always gives a good performance. He never looks lazy and never seems like he'd rather be somewhere else. In short, he's what more actors should be like. ""A Slight Case of Murder"" is di..."
negative,positive,0.526,I thought it will be a Ok movie after seeing the commercials about it. It was funny at some parts and some very nasty. The only person I felt sorry for is Horatio Sans who got a hot wife who is cheati...
positive,negative,0.525,"Okay, I think we're all agreed that Michael Jackson was the low point.<br /><br />And the special effects too. But, please, keep in mind that this was NOT a big-budget film, okay? Not every film gets ..."
negative,positive,0.523,"""Opposing Force [1986]"" wasn't as good as ""Dr. Strangelove"" and it wasn't as good as ""The Bridge on the River Kwai"". Heck, it wasn't even as good as ""G.I. Jane"", which is pretty sad.<br /><br />The fi..."
positive,negative,0.515,"Finally! Third time lucky. This film has been always been on my mind, but my first viewing I forgot about it and only caught the second half of the film. Then only a couple months later I had the my s..."
negative,positive,0.506,"Not to be mistaken as the highly touted Samuel L. Jackson vehicle SNAKES ON A PLANE; SNAKES ON A TRAIN is low budget, features no actors(to speak of), but some pretty decent visual effects. An attract..."
